time,open,high,low,close,Basis,Upper StdDev 1.0,Lower StdDev 1.0,Upper StdDev 1.618,Lower StdDev 1.618,Upper StdDev 2.618,Lower StdDev 2.618,Upper StdDev 3.618,Lower StdDev 3.618,Volume,Volume MA,Green Line,Red RSI,LSMA,Energy,Pressure,K,D
1611028800,36468.31,36648.92,36366.24,36450.65,36366.55399999993,36751.406366003925,35981.70163399594,36989.24512819439,35743.862871805475,37374.09749419838,35359.01050580148,37758.94986020237,34974.158139797495,1625.507307,2293.608254499999,31.95006984550842,74.3706377401554,73.43353347735626,-7.806436842135117,NaN,NaN,NaN
1611031680,36450.64,36538.46,36233,36410.44,36338.81349999994,36698.69717885594,35978.92982114394,36921.105292388944,35756.52170761093,37280.988971244944,35396.63802875493,37640.872650100944,35036.75434989893,1768.925496,2168.799412749999,25.034667233124765,63.126154540045654,67.37739568669447,-16.994705727988446,NaN,NaN,NaN
1611034560,36410.45,36535,36002.01,36488.3,36319.65049999994,36660.348916137984,35978.95208386189,36870.900537311296,35768.40046268858,37211.59895344934,35427.702046550534,37552.29736958738,35087.003630412495,2362.833992,2196.195942199999,20.186606216529057,50.60054309065601,59.934996762761436,-13.911289738121177,NaN,NaN,NaN
1611037440,36488.29,36753.31,36455.01,36549.86,36327.471999999936,36671.55321840669,35983.39078159318,36884.19541138207,35770.748588617804,37228.27662978882,35426.66737021105,37572.35784819558,35082.586151804295,2198.56402,2147.657169599999,50.38837642001109,42.828761551711914,55.836579356870395,25.603969999238593,NaN,NaN,NaN
1611040320,36549.86,37233.87,36470.62,37168.82,36365.613999999936,36755.514269617976,35975.713730381896,36996.47263624193,35734.75536375794,37386.37290585997,35344.8550941399,37776.27317547801,34954.95482452186,3343.395464,2235.3635092999994,76.0519531289468,43.064206658630546,55.981995859084215,70.78973146993556,NaN,NaN,NaN
1611043200,37167.92,37535.27,36897.07,37323.94,36427.21749999993,36863.56584281007,35990.869157189794,37133.22911866674,35721.205881333124,37569.57746147688,35284.857538522985,38005.92580428702,34848.509195712846,4761.99996,2357.5414017499997,93.56305928199883,49.529122021020065,59.542992781969886,104.42880299594655,NaN,NaN,NaN
1611046080,37323.95,37400,36997.3,37237.77,36507.888499999935,36937.43712666133,36078.33987333854,37202.89817793808,35812.87882206179,37632.44680459947,35383.3301954004,38061.995431260875,34953.781568738996,2771.706454,2362.8725038,84.15641993967874,58.23018037004844,63.2289504494899,103.14064106760358,NaN,NaN,NaN
1611048960,37237.77,37448.41,37000.08,37176.3,36581.40849999994,36992.85260462007,36169.96439537981,37247.125061275314,35915.691938724565,37658.56916589545,35504.247834104426,38070.013270515585,35092.803729484294,2580.820432,2375.46939605,74.62270481933875,66.4948533010841,66.18010345055347,84.69817205205644,NaN,NaN,NaN
1611051840,37176.3,37197.77,36750,37039.63,36641.95349999994,37026.39160312847,36257.51539687141,37263.9743508619,36019.932649137976,37648.41245399043,35635.494546009446,38032.85055711896,35251.056442880916,2627.973255,2425.6504643499998,42.88819048843845,70.27845067973567,65.66674242390151,39.958825834730995,NaN,NaN,NaN
1611054720,37039.63,37269,36811.83,37266.49,36707.47099999995,37080.94843771536,36333.99356228454,37311.75749422348,36103.184505776415,37685.23493193889,35729.707068061005,38058.7123696543,35356.229630345595,2428.295376,2463.7617848,58.14569547075982,71.5713371881938,66.47557818668693,31.55377119993152,NaN,NaN,NaN
1611057600,37263.73,37449,36636.05,36782.71,36736.60549999994,37091.63267766218,36381.5783223377,37311.039473457444,36162.171526542435,37666.06665111968,35807.144348880196,38021.093828781915,35452.117171217964,3228.957595,2525.7485427499996,46.94499711771931,66.72017785298921,64.43849044671965,21.00170486469586,NaN,NaN,NaN
1611060480,36782.72,37039.17,36610,36946.3,36772.920499999935,37109.93688638039,36435.90411361948,37318.21301316351,36227.627986836356,37655.22939954397,35890.6116004559,37992.24578592442,35553.59521407545,2596.656524,2589.3729505499996,40.04218772147767,57.80003259290235,62.011335318602065,17.74300756092325,NaN,NaN,NaN
1611063360,36946.3,37263.49,36900,37114.3,36819.80599999994,37135.128516588986,36504.48348341089,37329.997831841014,36309.61416815886,37645.32034843006,35994.291651569816,37960.64286501911,35678.96913498077,1906.102868,2634.3623017,51.51047340024426,52.359041502996604,62.77915621079899,33.02293567770928,NaN,NaN,NaN
1611066240,37114.3,37239.42,36805.42,36842.82,36841.89799999994,37142.22441292416,36541.57158707573,37327.826136111325,36355.96986388856,37628.15254903554,36055.643450964344,37928.47896195976,35755.31703804013,2004.611848,2677.1143208,45.25774481835922,47.46488150283334,62.76314669296331,39.30433115438052,NaN,NaN,NaN
1611069120,36842.83,37350,36776.5,37329.4,36876.80449999994,37190.87804686224,36562.73095313764,37384.97549882315,36368.63350117673,37699.04904568545,36054.55995431443,38013.12259254776,35740.48640745212,2230.317892,2688.4528499,68.29170337483335,51.6988003172325,65.27204695147672,61.24506863479111,NaN,NaN,NaN
1611072000,37329.4,37850,37203.97,37398.02,36920.11349999994,37243.223044762504,36597.00395523738,37442.904743425766,36397.322256574116,37766.01428818833,36074.21271181155,38089.12383295089,35751.10316704899,4637.614848,2808.4236876499995,83.46273080045857,55.91830620551562,67.39138098042982,83.16695891233852,NaN,NaN,NaN
1611074880,37398.02,37522.8,37015,37217.2,36931.48599999994,37260.78981333679,36602.182186663085,37464.299569978975,36398.6724300209,37793.60338331583,36069.36861668405,38122.90719665268,35740.064803347195,2283.836922,2737.4584569499993,72.01137016696602,60.09603504705674,67.57578548505639,78.49881457607853,NaN,NaN,NaN
1611077760,37217.21,37308.25,36703.71,36803.87,36936.021999999946,37262.90299961504,36609.14100038485,37464.915457377174,36407.12854262272,37791.79645699227,36080.24754300762,38118.677456607365,35753.36654339253,2204.254636,2602.2880599499995,49.51989703095084,61.67565326530226,64.32581998366382,52.09365105368784,NaN,NaN,NaN
1611080640,36805.17,37068.77,36450,36605.67,36930.88949999995,37262.08288385329,36599.6961161466,37466.76039507466,36395.01860492523,37797.95377892801,36063.825221071886,38129.14716278135,35732.63183721854,3069.892533,2632.9330341499995,21.641442809425275,56.697481500165765,57.03671512849907,15.990786836103432,NaN,NaN,NaN
1611083520,36607.52,36754.25,36052.04,36279.82,36921.61549999994,37267.9664000979,36575.26459990198,37482.01125635845,36361.219743641435,37828.36215645641,36014.868843543474,38174.71305655437,35668.51794344551,3409.160802,2702.0714111999996,11.61188571078788,51.08983831557054,48.20343115153801,-6.482559186730942,NaN,NaN,NaN
1611086400,36281.66,36596.17,36100,36318.78,36915.021999999946,37271.38639026609,36558.657609733804,37491.61958345056,36338.42441654933,37847.983973716706,35982.06002628319,38204.34836398285,35625.695636017044,2455.372253,2743.5646584999995,8.465443612149434,41.118795021789886,39.86774127705302,-10.894631003005921,NaN,NaN,NaN
1611089280,36322.3,36777.88,36232.87,36454.87,36917.24349999994,37270.581138819616,36563.90586118026,37488.94379961018,36345.5432003897,37842.281438429854,35992.20556157002,38195.61907724953,35638.867922750345,2599.028168,2785.069792099999,27.29657706309195,31.757769398895444,35.06868701639105,15.091492162693543,NaN,NaN,NaN
1611092160,36454.86,36676.07,36325.63,36562.65,36920.960999999945,37270.13268900477,36571.78931099512,37485.920792809746,36356.001207190144,37835.09248181457,36006.82951818532,38184.2641708194,35657.65782918049,1025.232304,2718.189707699999,39.77890766712894,26.385692315589267,33.30731155595359,45.938961432886444,NaN,NaN,NaN
1611095040,36562.65,36769.23,36384.56,36511.76,36919.055999999946,37270.344648674145,36567.76735132575,37487.44103355481,36350.67096644508,37838.72968222901,35999.382317770884,38190.018330903215,35648.09366909668,1119.202496,2664.221631499999,56.83716306137216,27.60523665399283,33.971010341980666,77.20140712382255,NaN,NaN,NaN
